用户ID,评论内容,购买时间,点赞数,回复数,得分,评价时间,商品型号

18634286980,关注很久了，户外钓鱼用来很方便，容量大，本以为这个很重，没想到很轻，携带方便，出去玩再也不担心没电了，快递发货速度赶上非常时期慢了些，不过不耽误！,2022-12-10 20:25:34,1,1,5,2023-01-01 10:50:01,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
18331172008,宝贝特别喜欢，颜值高质量好，中看又中用，有需要的朋友不要犹豫了，最后祝商家生意兴隆！,2022-10-24 00:00:58,0,1,5,2022-11-04 19:58:58,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
18340308150,做工精细，轻巧便利，外观设计感来说非常满意，客服态度好有耐心，1111活动优惠力度大，值得下手。待户外实测了再回来分享。相当期待(?˙ー˙?),2022-10-23 00:00:13,0,0,5,2022-11-06 14:45:37,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
16287459732,"做工质感：质感很好，跟预期效果一样
蓄电容量：拿到手打开的显示电量50%,先充满再说。我的用途主要是野外烧开水泡茶和咖啡，给笔记本电脑、相机、手机充电，不知道能不能满足要求。
便携性能：很好，提手便于手提，份量略感有点沉。",2021-09-06 21:53:08,0,2,5,2021-09-11 14:50:16,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
18741243236,期待好久的商品终于到货了，一直放在购物车里等搞活动就迫不及待下单了，物流快，大品牌，质量杠杠的，出去游玩必备品，性价比很高，值得推荐,2022-12-12 16:05:02,0,1,5,2023-02-01 23:16:51,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
18962981667,不得不说大品牌就是好，首先售后燕燕服务好，专业度高，开箱后包装和做工真是没话说，相当奈斯,2023-03-28 01:28:31,0,1,5,2023-03-30 10:43:09,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
14369799418,才拿到，充满电后还未用，期待中！,2020-06-21 23:34:49,1,1,3,2020-07-02 09:54:43,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
17713847746,老公新近入的一款，他自己很得意，虽然还没有除外旅行过，但已经在家得瑟好几次了，接吸尘器，接电脑，接手机，一顿折腾，他很开心，哈哈哈哈。,2022-05-31 20:19:19,1,1,5,2022-06-29 13:35:58,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
18339545696,挺好的，第二台了，之前是300w的电量小，刚好赶上双十一活动，到手不到二千，还是比较划算的，非常满意，质量非常好，一直感觉价格不低，但是质量放心，毕竟用在车上停车监控的，不能有隐患。这个大品牌的我放心！,2022-10-20 20:00:32,2,1,5,2022-11-06 12:23:11,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
18542669084,"产品非常好，相信京东自营准没错，哈哈哈。
本人比较挑剔，所以买东西喜欢好的，这点京东做的很好，其次今天下单，一般第二天都到，这点超赞??。
希望越做越好，给消费者更好的体验。",2022-12-07 11:10:29,0,0,5,2022-12-15 21:36:39,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
18021208659,宝贝收到咯，真的很棒呀！质量真是没话说，非常满意！?开心开心?物流速度真的是没话说，就是一个字：快。商品从外包装来看非常高档，真是一分钱一分货，贵有贵的道理，用100瓦的太阳能板充电基本上还好。在打开220伏的时候，里面的风扇会响。,2022-08-18 00:00:04,0,1,5,2022-09-05 21:56:46,电小二（Dxpower） 户外电源600W大功率220V移动便携大容量电脑充电宝露营应急备用储能电源 户外电源500W
